,sqft_living,sqft_above,bathrooms,view,grade,price
150,1360,1360,2.0,0,8,532170
151,1110,1110,1.0,0,7,560000
152,1250,1250,1.0,0,7,282950
153,5180,3540,3.25,3,12,2250000
154,700,700,1.0,0,7,350000
155,1180,1180,1.0,0,7,215000
156,3960,2500,3.5,0,9,650000
157,2640,1620,2.75,0,8,320000
158,1270,1270,2.0,0,7,247000
159,1760,1760,1.75,0,8,320000
160,2060,1030,2.25,0,7,255000
161,1780,1780,1.75,0,7,438000
162,3400,3400,2.5,0,10,900000
163,1910,1160,2.75,0,7,441000
164,2020,1010,2.0,0,7,420000
165,1580,1180,1.75,0,7,370000
166,1340,700,1.75,0,5,269950
167,2680,2680,2.5,0,9,807100
168,2680,1610,2.5,0,8,653000
169,1370,1370,2.0,0,7,371500
170,1560,1560,1.75,0,7,284000
171,2160,1670,1.75,0,7,272000
172,1340,1340,1.5,0,7,313000
173,3880,2570,2.5,0,10,917500
174,2590,2590,2.25,0,8,673000
175,1120,820,2.5,0,8,425000
176,1970,1320,2.75,0,7,399950
177,1220,1220,1.0,0,6,385000
178,1950,1320,1.5,2,7,269950
179,1350,1060,1.0,0,7,330000
180,1670,1670,2.5,0,7,260000
181,2380,1680,3.0,0,7,470000
182,2440,2440,3.0,0,7,589000
183,1050,1050,1.5,0,7,163500
184,3130,2140,2.75,0,9,835000
185,4090,2090,3.0,2,10,1100000
186,1490,1100,1.75,0,8,269000
187,1900,1900,2.5,0,8,560000
188,1330,1330,1.0,0,6,615000
189,2230,1430,2.25,0,8,585188
190,1650,1220,1.75,0,7,305000
191,1190,1190,1.0,0,6,166950
192,2140,2140,2.5,0,8,799000
193,2180,1420,2.5,0,7,400000
194,1060,1060,1.0,0,7,230000
195,1690,1690,2.5,0,8,256883
196,1970,1130,2.0,0,7,423000
197,2150,2150,2.5,0,8,465000
198,1910,1910,2.5,0,7,440000
199,1350,1350,1.75,0,7,385000
200,860,860,1.0,0,6,210000
201,1940,1940,2.5,0,8,297000
202,1010,1010,1.0,0,7,470000
203,1300,900,1.5,0,7,226500
204,910,910,1.0,0,6,274250
205,2480,1630,1.75,0,9,840000
206,2440,2440,2.5,0,8,677900
207,1010,1010,1.0,0,7,425000
208,900,900,0.75,0,6,180250
209,2300,1600,3.0,0,7,464000
210,1550,1550,2.25,0,8,320000
211,1270,1060,2.25,0,8,625504
212,2240,2240,2.5,0,9,592500
213,2714,2714,2.5,0,9,465000
214,1720,1720,2.75,0,8,477000
215,850,850,1.0,0,6,280000
216,3300,1870,3.0,3,9,1510000
217,2250,2250,2.5,0,8,445838
218,3900,1950,2.25,3,8,1070000
219,1320,1320,1.5,0,8,467000
220,2760,2760,2.5,0,10,686000
221,1750,1350,2.0,0,7,279950
222,2330,2330,2.25,0,8,527000
223,2220,1780,2.25,0,8,325000
224,2020,2020,2.25,0,7,328000
225,1250,1250,2.25,0,7,390000
226,1510,1510,2.0,0,8,479950
227,1720,1120,2.25,0,7,264950
228,1430,980,1.0,0,7,235000
229,1480,1480,2.5,0,7,516500
230,1450,1230,1.75,4,7,655000
231,2280,2280,2.75,0,7,500000
232,2940,1780,2.75,0,8,315000
233,1000,1000,1.0,0,6,213000
234,2480,1620,1.5,0,7,475000
235,3760,3760,4.0,0,10,1030000
236,2220,1640,2.0,0,7,416000
237,1970,1670,1.0,0,7,410000
238,3830,3530,3.5,0,10,800000
239,4410,2350,2.5,2,9,472000
240,1430,1430,1.75,0,7,225000
241,830,830,1.0,0,6,210000
242,1430,1430,1.0,0,7,455000
243,1300,1300,1.0,0,6,225000
244,1030,790,1.0,2,7,480000
245,2740,2740,2.5,0,9,363000
246,3650,1830,2.5,4,9,2400000
247,720,720,1.5,0,6,181000
248,2010,2010,2.0,0,7,250000
249,1560,770,1.75,0,6,481000
250,1810,1240,2.0,0,7,260000
251,3360,3360,2.5,0,9,455000
252,1510,1510,2.25,0,8,415000
253,1400,800,1.0,0,7,349500
254,1730,1730,2.5,0,7,245000
255,1420,1420,2.0,2,7,592500
256,2360,1180,1.75,0,7,385000
257,1580,1200,1.75,0,7,315000
258,1230,1230,1.0,0,7,255000
259,2460,2460,2.5,0,8,693000
260,1660,1460,1.0,0,8,780000
261,1270,1270,1.75,0,7,237000
262,2100,1320,2.25,0,10,525000
263,770,770,1.0,0,5,425000
264,760,760,0.75,4,5,369900
265,1700,1700,2.5,0,7,290000
266,1120,1120,1.0,0,7,285000
267,1070,1070,1.0,0,7,415000
268,2070,1420,2.5,0,8,272500
269,5050,4750,3.25,2,11,2900000
270,5310,5310,4.75,0,11,1370000
271,1040,1040,1.0,0,7,436000
272,1700,1700,1.0,0,7,210000
273,1300,1300,1.0,0,7,236000
274,1080,580,1.75,0,7,331000
275,2653,2653,2.5,0,8,365000
276,2290,2290,2.0,0,8,450000
277,3820,2850,2.75,0,9,770000
278,2210,2210,2.5,0,8,455000
279,2390,1240,1.75,0,6,405000
280,2600,1610,1.75,0,7,304900
281,860,860,1.0,0,6,170000
282,3830,2630,3.0,1,9,2050000
283,3500,3500,2.5,0,9,780000
284,2420,1740,3.0,0,8,330000
285,2720,2720,2.5,0,9,370000
286,2500,1850,2.25,0,7,467000
287,1670,1140,1.75,0,7,405000
288,2900,1450,2.25,0,8,675000
289,1640,1140,1.0,0,7,500000
290,1890,1890,2.5,0,7,389999
291,2950,1780,1.75,2,8,630000
292,2160,2160,2.5,0,9,360000
293,3280,2270,3.0,0,8,580000
294,1970,1270,2.0,3,8,550000
295,3360,3360,2.5,0,10,879000
296,1320,1320,2.0,0,7,265000
297,2650,2650,2.5,0,8,446500
298,2030,1330,1.5,0,7,404000
299,1590,1090,1.75,2,7,267500
300,4550,2600,5.0,4,10,3080000
301,2440,2440,2.5,0,8,335000
302,1940,970,2.5,0,7,576000
303,2040,2040,2.5,0,8,208633
304,2200,1120,2.25,0,7,315000
305,1920,960,1.75,0,8,725000
306,1800,1400,2.75,0,8,550000
307,2180,2180,2.25,0,8,610750
308,1010,1010,1.0,0,6,550700
309,3320,2220,2.75,0,8,665000
310,2370,1980,2.5,2,8,834000
311,1660,1660,1.75,0,6,201000
312,3650,3370,2.5,4,10,2380000
313,4290,2690,3.25,3,11,1380000
314,4290,2690,3.25,3,11,1400000
315,1950,1350,2.25,0,8,305000
316,2590,1720,2.0,0,8,487000
317,1930,1930,2.5,0,8,390000
318,1470,1170,1.0,0,7,548000
319,800,800,1.0,0,6,268750
320,3150,3150,2.75,0,9,819900
321,2030,2030,2.25,0,8,520000
322,1450,1450,2.0,0,7,230000
323,1510,1510,1.75,0,7,240000
324,1240,960,1.0,0,6,232000
325,1240,960,1.0,0,6,240500
326,3030,3030,2.5,0,9,274975
327,2050,2050,2.0,0,9,740000
328,1000,1000,1.0,0,7,186375
329,2370,1590,2.25,0,9,790000
330,2800,1890,3.5,0,9,880000
331,2240,2240,1.75,0,7,279000
332,1810,1810,2.0,2,8,295000
333,1070,1070,1.0,0,7,640000
334,2490,2490,2.0,0,9,940000
335,1960,1960,2.5,0,7,260000
336,2930,1860,2.75,0,9,559900
337,1510,1510,2.0,0,7,791500
338,1420,1420,1.75,0,7,265000
339,1740,1740,1.75,0,7,245000
340,2560,2560,1.75,0,7,485000
341,3040,2420,3.5,0,9,684000
342,2500,1300,1.75,0,8,425000
343,1275,1275,1.75,0,6,309600
344,2580,2580,2.5,0,8,552250
345,1000,1000,1.0,0,6,165000
346,1000,1000,1.0,0,6,239900
347,1070,1070,1.0,0,6,320000
348,1390,1390,2.0,0,7,206600
349,2500,1250,1.75,0,7,387000
350,560,560,0.75,0,4,299000
351,2270,2270,2.75,0,9,855000
352,1900,1300,1.0,0,7,315000
353,990,790,1.0,2,7,437500
354,1550,1050,1.5,0,7,252000
355,2200,1100,1.75,0,7,375000
356,1910,1910,2.5,0,7,300000
357,1750,1750,1.0,0,7,420000
358,1330,1330,1.0,0,7,900000
359,2440,1980,2.5,2,9,679900
360,1640,1640,2.5,0,7,463000
361,2760,2760,2.5,0,9,380000
362,1820,1820,2.5,0,7,329500
363,2110,1340,2.5,0,8,604950
364,3040,1640,2.5,2,8,795000
365,1840,1840,2.0,0,7,465000
366,2990,2990,2.5,0,9,673000
367,3520,3520,2.5,0,10,810000
368,2440,1910,2.75,0,8,785000
369,2090,1370,3.0,0,7,338000
370,1430,1430,2.25,0,7,280000
371,2180,1100,2.25,0,7,315000
372,2180,1100,2.25,0,7,530000
373,3450,3450,3.0,0,9,380000
374,1450,1450,2.25,0,7,297000
375,3230,3230,2.5,0,10,730000
376,1640,1110,1.75,0,7,450000
377,1590,1060,3.0,0,7,275000
378,2020,2020,2.0,0,7,595000
379,1300,1300,1.5,0,7,435000
380,1380,1380,1.5,0,6,270000
381,4040,3030,3.0,0,10,950000
382,2130,2130,2.25,0,7,389000
383,2550,1580,2.25,0,8,560000
384,4800,3480,3.5,2,11,1350000
385,2510,2510,2.25,0,8,799000
386,1410,1410,2.0,0,7,365500
387,1650,1160,2.0,0,7,252350
388,2120,2120,2.5,0,8,403950
389,2040,1380,1.5,0,7,385000
390,1550,1550,1.0,0,7,345000
391,1980,1980,2.75,0,9,490000
392,1600,1600,2.5,0,8,330000
393,3300,3300,2.75,0,8,927000
394,3840,3840,2.5,1,10,1120000
395,1220,1220,1.0,0,7,330000
396,2720,1500,2.25,0,7,530000
397,1940,1940,2.0,0,8,365000
398,2160,1260,2.5,0,7,378750
399,1530,1530,1.75,0,7,269900
400,1710,1290,3.5,0,8,557000
401,3730,2150,1.75,0,7,360000
402,940,940,1.0,0,7,352000
403,1750,1750,2.5,0,8,437000
404,1820,1820,2.5,0,7,322500
405,1510,1330,3.25,0,9,650000
406,1290,1290,2.0,0,8,450000
407,1570,1570,2.0,0,7,278500
408,1930,1930,2.5,0,8,364950
409,2840,2840,3.5,4,10,840000
410,1550,1550,2.5,0,7,268000
411,833,833,1.0,0,5,517534
412,2990,2990,2.5,0,8,632925
413,2000,2000,2.5,0,9,577500
414,2390,2390,1.5,2,7,339000
415,2910,1530,1.75,0,7,570000
416,2085,1610,1.75,0,7,563500
417,2200,1290,2.25,0,7,423000
418,1860,1860,2.25,0,8,355000
419,6070,6070,4.25,0,12,1550000
420,950,950,1.0,0,7,482000
421,1600,1600,1.75,0,7,625000
422,2250,2250,2.5,0,8,538000
423,2280,2280,2.5,0,8,380000
424,940,940,1.0,0,7,375000
425,1530,1030,2.5,0,7,245000
426,2190,2190,1.75,0,7,310000
427,2350,1770,2.0,0,8,1300000
428,1440,1200,2.0,0,7,397000
429,2200,2200,2.5,0,8,365000
430,2290,2290,3.0,0,9,328500
431,4040,4040,3.0,0,11,988000
432,2610,1920,2.5,0,8,1000000
433,1490,1490,2.5,0,7,237000
434,2450,2450,2.5,0,8,525000
435,1710,1440,2.5,0,9,749000
436,4870,3470,2.5,0,10,722500
437,3130,3130,2.5,0,10,843000
438,1270,1270,2.0,0,8,438000
439,2120,1540,1.75,2,8,578000
440,1670,1670,1.5,0,7,227950
441,2070,2070,2.25,0,7,196000
442,1420,1070,1.0,0,8,641000
443,1250,1250,1.5,0,6,350000
444,940,940,1.0,0,7,205000
445,1920,1920,1.75,0,7,400000
446,3545,2610,2.5,0,10,1030000
447,1260,1260,2.0,0,7,505000
448,2340,1300,2.5,0,7,475000
449,2590,1440,2.25,0,8,520000
450,3970,3260,4.5,2,10,1450000
451,1220,1220,1.75,0,7,333500
452,1400,1400,1.0,0,6,232000
453,2360,1710,2.75,0,8,691100
454,1870,1870,1.75,0,8,811000
455,2830,2830,2.5,0,9,551000
456,2260,2260,2.5,0,8,496500
457,1970,1770,3.0,3,9,705000
458,3140,1770,2.5,2,9,578000
459,1240,1240,1.75,0,7,255000
460,3450,3450,3.5,0,10,1050000
461,2570,2570,2.25,0,8,348000
462,1510,1510,2.0,0,7,230000
463,2390,2390,2.25,0,9,359500
464,980,980,1.0,0,6,330000
465,430,430,0.75,0,4,80000
466,1480,1480,1.75,0,7,465000
467,1850,1850,2.5,0,8,325000
468,2270,1920,2.0,0,7,340500
469,1810,1810,2.5,0,8,342500
470,1610,1610,2.0,0,6,290900
471,3840,3840,4.25,0,10,868700
472,4110,3130,2.75,1,9,1200000
473,4190,3150,3.25,0,11,1150000
474,3390,3390,2.75,0,9,859900
475,1890,1890,2.25,0,7,520000
476,1610,1080,2.5,2,9,460000
477,1050,850,1.5,0,7,438924
478,630,630,1.0,0,5,315000
479,2910,1780,2.75,2,8,590000
480,1700,850,1.75,0,7,378500
481,1950,1950,2.5,0,9,328500
482,2990,2990,3.0,0,8,849950
483,1350,900,1.5,2,7,525000
484,4860,4860,3.25,0,9,1390000
485,2160,1460,2.5,0,8,295000
486,4860,3860,3.5,0,11,1070000
487,890,890,2.0,0,6,207950
488,2810,2810,2.75,0,9,699900
489,3400,3400,2.5,1,8,1280000
490,1580,960,1.5,0,7,452000
491,1680,1680,2.0,1,7,370000
492,1300,1300,1.75,0,7,232000
493,2820,2380,2.5,0,7,669950
494,1510,1070,2.0,0,7,397500
495,1230,870,2.5,0,8,490000
496,2110,1710,2.0,0,9,725000
497,3080,1610,2.75,2,7,299000
498,1490,1190,1.5,0,7,625000
499,2120,2120,2.5,0,7,437500
500,3180,3180,2.5,0,9,650000
501,1490,860,1.0,0,7,475000
502,1930,1930,2.0,0,8,342000
503,2770,2770,2.5,0,10,1200000
504,1670,1670,1.5,0,7,280000
505,1330,1330,1.75,0,7,240000
506,1210,1210,1.0,0,7,529000
507,1190,1030,1.0,0,7,442000
508,1540,820,1.0,0,7,615000
509,4030,4030,3.75,0,10,1490000
510,2430,1580,1.75,0,8,585000
511,2600,2600,2.5,0,8,480000
512,4410,4410,3.5,0,9,1100000
513,1330,1330,1.0,0,7,290000
514,1900,950,1.75,0,7,615000
515,1100,1100,1.0,0,7,300000
516,1980,1580,1.0,0,6,308000
517,2400,2400,2.5,0,9,750000
518,4760,3390,2.25,0,9,2250000
519,3180,3180,3.25,0,10,890000
520,1190,1190,1.0,0,6,288000
521,630,630,1.0,0,6,190000
522,2530,1520,3.0,0,8,515000
523,1690,1690,1.5,0,5,235000
524,940,940,1.0,0,6,275000
525,1240,1240,2.0,0,7,727500
526,3040,3040,2.5,0,7,650000
527,6050,6050,5.0,3,11,1600000
528,1590,1590,1.0,0,6,365000
529,2500,2500,1.75,0,9,662000
530,1780,1320,2.5,0,7,270500
531,1360,1360,1.5,0,7,200000
532,4740,4740,3.25,0,10,970000
533,1010,1010,1.5,0,7,160000
534,1040,1040,1.0,0,6,204000
535,1610,1610,2.25,0,7,358000
536,1570,1570,1.75,0,7,452000
537,1510,1010,2.0,0,7,595000
538,1360,1360,2.0,0,7,249000
539,1970,1970,2.5,0,8,346900
540,5403,5403,2.5,4,12,2130000
541,1560,1560,2.5,0,7,280000
542,2320,2270,1.75,0,8,318888
543,2120,2120,2.25,0,8,530000
544,2120,2120,2.25,0,8,375000
545,3350,3350,2.5,0,11,910000
546,2380,2380,2.5,0,10,782000
547,1070,720,2.0,0,9,259950
548,2300,1560,2.75,0,7,315000
549,1320,1320,1.0,0,6,215000
550,2180,1140,1.75,2,7,705000
551,4380,3580,3.0,3,10,1450000
552,1790,1790,1.75,0,7,451000
553,750,750,1.0,0,6,261000
554,1300,1300,1.5,0,7,396000
555,2990,2990,2.5,3,9,725000
556,4640,2860,3.5,1,11,1950000
557,1400,1400,1.0,0,7,238000
558,2750,2750,1.75,0,8,750000
559,2050,2050,2.5,0,7,331500
560,2230,1410,3.0,0,7,460000
561,2340,2340,2.25,0,8,404950
562,2870,2870,2.5,0,9,880000
563,4120,4120,2.5,0,10,863000
564,2080,1370,1.75,0,7,638700
565,1840,1840,2.5,0,7,435000
566,1180,1180,1.0,0,6,260000
567,2160,1530,2.75,0,7,671500
568,1180,1180,1.0,0,8,610000
569,1160,870,0.75,0,6,405000
570,1830,1830,2.5,0,7,338900
571,3200,3200,4.0,0,10,720000
572,2560,1760,3.0,0,7,442000
573,2550,2550,2.75,0,8,650000
574,1330,1040,1.75,0,7,263500
575,1220,1220,1.0,0,7,300000
576,1805,1805,2.5,0,7,266000
577,6050,4150,4.0,2,9,930000
578,2320,2320,2.5,0,8,530000
579,1384,1384,1.0,0,6,180000
580,2720,2720,2.5,0,9,619000
581,1820,1820,1.5,0,7,264000
582,2130,1530,2.25,4,7,730000
583,2060,2060,2.25,0,7,439000
584,1420,1080,1.75,0,7,268500
585,1510,1510,1.75,0,7,330000
586,2160,1960,2.5,0,8,640000
587,3180,3180,2.5,0,11,900000
588,2110,2110,2.25,0,8,370000
589,2060,1330,2.0,0,8,685000
590,1830,1010,1.5,0,7,505000
591,1820,1820,1.75,0,7,265000
592,1610,1610,2.5,0,8,290000
593,1780,1780,2.5,0,7,296000
594,1840,1840,2.5,0,7,360000
595,1460,990,1.75,0,7,240500
596,1400,1400,2.5,0,8,372500
597,3370,3370,2.5,2,9,595000
598,3590,3590,3.0,0,9,515000
599,3200,3200,2.25,0,9,1220000
600,1670,1670,1.75,0,8,507000
601,2420,2420,2.0,0,9,399950
602,1430,1430,1.75,0,7,185000
603,1440,1440,1.75,0,7,460000
604,1450,1450,2.25,0,7,435500
605,3550,2100,2.75,0,8,469000
606,1270,1110,3.0,0,8,531000
607,940,940,1.0,0,7,443500
608,1670,1300,2.0,0,7,223000
609,3100,2400,3.5,0,8,590000
610,1100,1100,2.5,0,7,340000
611,1870,1230,2.0,0,8,650000
612,1930,1930,2.5,0,8,533600
613,2540,2540,2.75,0,9,695000
614,1280,1280,1.75,0,7,242000
615,1820,1280,2.25,0,7,425000
616,1490,1490,2.25,0,7,525000
617,1880,1880,2.5,0,8,485000
618,1250,1250,1.0,0,7,175000
619,1440,1440,2.0,0,8,210000
620,1920,1920,2.5,0,7,260000
621,2060,1330,2.5,0,7,577000
622,1210,1210,1.5,0,7,200000
623,1760,940,1.75,0,7,605000
624,990,990,1.0,0,6,325000
625,960,820,1.0,0,6,289500
626,1660,1660,2.5,0,9,559950
627,1900,1330,1.75,1,8,1040000
628,1270,990,2.25,0,7,543500
629,3250,3250,2.25,0,9,480000
630,960,960,1.0,0,6,218000
631,1330,960,1.75,0,7,565000
632,2080,1600,1.75,0,7,426700
633,2690,2130,2.5,3,8,650000
634,890,770,1.0,0,7,542000
635,1070,1070,1.75,0,7,415000
636,1200,1200,1.0,0,6,214000
637,1360,1360,1.5,0,7,245000
638,2050,2050,2.0,0,8,314500
639,3000,2000,1.5,0,9,1120000
640,1300,800,2.0,0,7,378000
641,2250,1340,2.5,0,7,305000
642,3740,1980,2.75,0,8,595000
643,1660,1530,2.5,1,9,729500
644,2360,2360,2.5,0,7,430000
645,1760,1150,1.75,0,7,240000
646,1680,1680,1.75,0,7,545000
647,1320,870,1.75,0,7,530000
648,870,870,1.0,0,6,157000
649,1260,1260,1.0,0,6,425000
650,1000,1000,1.0,0,6,220000
651,2020,1550,1.75,0,8,521000
652,1920,1120,1.0,2,7,325000
653,2150,1380,2.0,0,7,597500
654,1470,1470,2.5,0,7,337000
655,3180,3180,2.5,2,10,1000000
656,3930,2330,2.5,4,8,3070000
657,990,990,1.0,0,6,495000
658,2770,1970,3.5,0,8,748000
659,1250,1250,1.5,0,7,888000
660,1140,1140,1.75,0,7,269900
661,2250,1550,2.5,0,7,496500
662,1640,1640,2.5,0,7,475000
663,1255,1255,1.5,0,7,312000
664,1290,1290,1.0,0,7,323000
665,1300,1300,1.75,0,7,331000
666,1220,1220,1.5,0,8,306000
667,2630,2630,2.5,0,8,655000
668,1950,1950,1.5,0,8,290000
669,3160,2360,3.25,0,9,1250000
670,1550,860,1.75,0,7,460000
671,1700,850,2.5,0,7,435000
672,2510,1630,2.75,0,8,664000
673,1800,1800,1.75,3,8,865000
674,1800,1200,1.75,0,8,385000
675,1870,1350,2.25,0,7,497000
676,1010,1010,1.0,0,7,280000
677,1120,1120,1.5,0,6,188000
678,2090,1200,1.0,2,8,478500
679,4370,4370,3.5,0,11,1150000
680,1440,970,2.0,0,7,222000
681,2580,2580,3.0,0,8,799000
682,3190,3190,2.5,0,10,609900
683,2380,1750,3.5,0,7,413000
684,1420,1420,1.0,0,7,400000
685,2990,2990,2.75,0,9,802541
686,2680,2680,2.5,0,8,320000
687,2730,2730,2.5,0,7,507000
688,1220,1220,1.0,0,6,387500
689,1500,1500,1.0,0,7,396000
690,1830,1430,1.75,1,8,373000
691,4570,4570,2.5,0,10,1480000
692,2470,2470,2.25,0,8,359900
693,800,670,1.0,0,6,410000
694,2900,2900,2.5,0,9,690000
695,1410,1410,2.0,0,7,245000
696,2830,1610,2.5,1,8,700000
697,1680,1100,1.75,0,7,268000
698,1760,920,1.75,0,7,225000
699,2240,2240,2.25,0,8,980000
700,1380,1380,1.0,2,5,795000
701,820,820,1.0,0,6,195000
702,2180,1730,2.0,0,6,480000
703,1400,1100,2.0,0,7,485000
704,880,880,1.0,0,5,130000
705,1060,1060,1.0,2,6,325000
706,1530,1530,1.75,0,7,440000
707,2480,1460,1.75,3,8,550000
708,1490,1490,1.75,0,6,310000
709,3660,3260,2.5,2,9,530000
710,2340,2340,2.5,0,8,390000
711,1450,1450,1.75,0,7,243000
712,2210,2210,2.5,0,9,639000
713,1130,1130,1.0,0,7,215000
714,1550,1100,1.75,0,7,405000
715,1710,1010,1.75,0,7,250000
716,1010,1010,1.5,0,7,405500
717,2660,2660,2.25,0,7,452000
718,2660,2660,2.25,0,7,730000
719,1300,1300,2.0,0,7,267000
720,1670,1670,2.5,0,7,289950
721,960,960,1.0,0,7,565000
722,4670,4670,3.25,0,12,1580000
723,2140,1770,2.5,0,8,636000
724,2520,1550,3.0,0,8,350000
725,1650,1130,1.5,0,7,320000
726,1440,1440,1.75,0,8,210000
727,1050,1050,1.0,0,7,245000
728,1470,1130,1.75,0,7,328000
729,4230,4230,2.25,0,11,985000
730,1970,1370,1.75,3,8,501000
731,1540,1540,2.25,0,7,315000
732,2090,2090,2.75,0,8,403000
733,2380,2110,2.0,0,8,550000
734,2156,2156,2.5,0,9,347500
735,2070,2070,2.25,0,8,365000
736,1910,1270,1.0,0,8,588000
737,1920,1260,1.75,0,8,605000
