,sqft_above,sqft_living15,bathrooms,view,sqft_basement,floors,grade,condition,yr_built,yr_renovated,floors,price
13153,1130,1940,2.5,0,520,1.0,7,4,1986,0,1.0,379880
8511,900,1280,1.0,0,0,1.0,7,3,1944,0,1.0,553000
8103,2920,3030,2.75,0,0,2.0,8,3,2012,0,2.0,625000
4888,1570,2350,2.5,0,630,1.0,8,5,1988,0,1.0,365000
9652,2010,2140,2.5,2,520,2.0,8,3,1990,0,2.0,331950
15036,1140,2240,2.0,0,1140,1.0,7,3,1900,0,1.0,628000
3823,2680,2315,2.5,0,0,1.0,9,3,2004,0,1.0,775000
14282,1990,2280,2.5,0,860,2.0,10,3,1980,0,2.0,783500
20365,3410,4420,4.25,0,1010,2.0,10,3,2006,0,2.0,890000
6964,3180,3715,2.5,3,0,2.0,9,3,2000,0,2.0,736500
11595,2230,1310,2.5,0,0,2.0,7,3,1954,0,2.0,398750
20325,3400,3070,2.5,0,0,2.0,9,3,2007,0,2.0,830000
13272,1040,1770,1.75,0,840,1.0,7,4,1945,0,1.0,600000
3171,1360,2730,2.25,0,440,1.0,8,4,1978,0,1.0,410000
13012,1880,1810,2.5,0,0,2.0,7,3,1994,0,2.0,309950
5139,1400,3010,1.5,2,760,1.0,8,4,1949,0,1.0,650000
16092,2220,1870,2.5,0,0,2.0,9,3,2000,0,2.0,1430000
3964,1140,1410,3.0,0,270,2.0,8,3,2006,0,2.0,405000
11747,810,1090,1.0,0,0,1.0,6,5,1944,0,1.0,206000
20322,1160,1220,1.5,0,0,2.0,7,3,2001,0,2.0,340000
20459,1540,1620,2.25,0,80,2.5,8,3,2010,0,2.5,415000
20429,1571,1520,3.0,0,0,3.0,8,3,2008,0,3.0,366750
3855,1480,1480,1.75,0,0,2.5,9,3,2005,0,2.5,620000
20538,1408,1408,2.5,0,0,3.0,8,3,2005,0,3.0,416286
8159,2370,2590,2.5,0,0,2.0,9,3,1998,0,2.0,328000
1276,1610,1670,3.0,0,560,2.0,9,4,1982,2011,2.0,831000
6953,2850,2610,3.5,1,1160,2.0,9,5,1971,0,2.0,1400000
6644,1750,1760,2.5,0,1340,1.0,8,3,1968,0,1.0,384900
14855,1550,1510,2.0,0,0,1.0,6,4,1958,0,1.0,249950
10197,1050,1810,1.0,0,340,1.0,7,3,1924,0,1.0,657100
606,1110,1290,3.0,0,160,2.0,8,3,2000,0,2.0,531000
187,1900,2030,2.5,0,0,2.0,8,3,1987,0,2.0,560000
11287,2010,2010,1.75,0,0,1.5,7,3,1902,0,1.5,740000
20939,1590,1590,2.5,0,0,2.0,8,3,2014,0,2.0,419190
6298,1680,1950,2.5,0,0,3.0,9,3,1909,1998,3.0,670000
12764,9410,4850,8.0,4,4130,3.0,12,3,1999,0,3.0,2280000
8365,1540,1200,2.0,0,300,1.0,7,4,1942,1958,1.0,435000
12647,1140,1820,1.75,0,830,1.0,7,5,1960,0,1.0,379950
10055,1240,1240,1.5,0,0,1.0,7,3,1971,0,1.0,220000
11432,1120,1310,1.0,0,0,1.5,7,4,1962,0,1.5,340000
21084,2450,2970,2.5,0,0,2.0,8,3,2013,0,2.0,712198
2340,2490,2130,2.5,0,0,2.0,9,3,2003,0,2.0,705380
10561,2310,1980,2.75,0,0,2.0,7,3,2006,0,2.0,309950
6853,1410,1430,2.25,0,0,3.0,8,3,2005,0,3.0,406100
11473,1300,2550,2.75,0,1300,1.0,8,4,1960,0,1.0,855000
20746,3200,4530,3.5,0,1290,2.0,10,3,2006,0,2.0,890000
9548,840,1630,1.0,0,0,1.0,7,3,1955,0,1.0,400000
20729,3040,2670,2.5,0,0,2.0,9,3,2007,0,2.0,478000
4165,1200,1200,1.0,0,0,1.0,6,4,1958,0,1.0,232000
15642,1430,1940,2.0,0,620,1.0,6,3,1956,0,1.0,210000
12719,1450,1170,1.0,0,0,1.0,7,4,1953,0,1.0,287000
5391,2780,2020,1.75,0,140,2.5,9,4,1908,0,2.5,823000
16002,1600,2220,2.75,2,1600,1.0,8,4,1953,0,1.0,497300
6108,1370,2020,2.75,0,1370,1.0,8,4,1960,0,1.0,541125
9273,1660,2580,2.5,0,1140,1.0,8,3,1963,0,1.0,665000
3749,1140,1520,1.0,0,0,1.0,7,5,1908,0,1.0,549000
19952,2440,1350,2.5,0,0,2.0,9,3,2014,0,2.0,631625
358,1330,1340,1.0,0,0,1.0,7,3,1928,1954,1.0,900000
3412,2110,1480,1.75,0,0,1.0,7,2,1948,0,1.0,400000
1700,1120,1150,1.5,0,0,1.0,6,3,1969,2014,1.0,219900
3377,1340,1440,3.0,0,1000,1.0,8,4,1979,0,1.0,485000
4755,3180,3180,2.5,0,0,2.0,10,4,1990,0,2.0,800866
13796,1410,1410,2.0,0,0,1.5,7,4,1930,0,1.5,418000
1772,1340,1800,1.0,0,0,1.0,5,3,1953,0,1.0,210000
2525,1210,1720,2.25,0,780,1.0,8,3,1973,0,1.0,627000
19780,1790,1890,2.5,0,0,2.0,8,3,2010,0,2.0,509900
9117,1160,1730,1.0,0,910,1.0,7,3,1963,0,1.0,501000
2531,3690,3430,3.0,0,0,2.0,10,3,1998,0,2.0,865000
10914,1050,1130,2.0,0,0,1.0,7,3,1986,0,1.0,300000
18413,1080,1800,2.0,0,720,1.0,7,4,1942,0,1.0,618500
1894,1620,1570,2.5,0,500,1.0,7,4,1960,0,1.0,755000
9052,2910,2320,2.5,0,0,2.0,7,3,2006,0,2.0,499000
7852,1330,2080,2.25,0,680,1.0,8,3,1975,0,1.0,570000
10915,1810,2170,1.75,0,740,1.0,7,5,1960,0,1.0,525888
12149,1670,2330,1.75,0,0,1.0,8,4,1976,1992,1.0,600000
20037,1940,1880,2.5,0,0,2.0,8,3,2009,0,2.0,555000
13933,1480,1480,2.0,0,0,1.5,7,5,1928,0,1.5,449250
5694,1810,2170,2.0,0,540,1.5,8,4,1939,0,1.5,770000
16932,1960,2840,1.75,0,340,1.0,9,4,1977,0,1.0,615000
14143,1140,1450,1.0,0,0,1.5,6,4,1949,0,1.5,329950
1423,2730,2750,2.5,2,0,2.0,9,3,1996,0,2.0,780000
11932,1690,3100,2.75,3,1500,1.0,9,3,1976,0,1.0,1030000
8077,1330,1690,1.75,0,0,1.0,8,3,1961,0,1.0,787000
3061,1320,2160,1.0,0,1220,1.0,8,5,1942,0,1.0,580000
6008,780,1470,1.75,0,780,1.0,6,4,1944,0,1.0,524000
14184,1000,1860,1.75,0,920,1.0,7,3,1984,0,1.0,245000
14199,3240,2970,2.5,0,0,2.0,10,3,1994,0,2.0,800000
9393,4340,2720,2.5,0,0,2.5,11,3,1992,0,2.5,1090000
7498,1490,2488,1.75,0,0,1.0,7,4,1962,0,1.0,184000
16761,1520,1060,1.0,0,250,1.5,6,3,1949,0,1.5,585000
14191,2910,2500,2.5,0,0,2.0,8,3,2008,0,2.0,549000
19495,1470,1840,1.75,0,540,1.0,7,3,1977,0,1.0,487585
10499,2280,2540,2.25,0,1210,2.0,10,4,1928,0,2.0,1230000
21132,3930,2490,5.0,0,560,2.0,10,3,2013,0,2.0,1800000
15116,3200,3770,2.5,0,0,2.0,10,3,1998,0,2.0,725126
6619,1410,2090,1.5,0,0,1.0,8,3,1961,0,1.0,367500
2620,2110,2520,2.5,0,0,2.0,9,3,1987,0,2.0,606000
14941,2490,2540,3.5,0,990,2.0,8,4,1983,0,2.0,650000
15933,3380,2220,3.5,0,0,2.0,8,3,2000,0,2.0,655500
17068,930,2800,1.0,2,0,1.0,6,3,1951,0,1.0,675000
15958,1110,2010,1.0,0,0,1.0,7,3,1956,0,1.0,345000
14987,1770,2990,2.5,0,1200,1.0,9,3,1995,0,1.0,525000
5347,1710,1860,2.25,1,1100,1.0,7,3,1958,0,1.0,407000
8573,2460,2770,2.5,0,0,2.0,8,4,1980,0,2.0,520000
428,1200,1460,2.0,0,240,1.0,7,3,1971,0,1.0,397000
4591,1260,1500,1.75,0,0,1.0,7,4,1966,0,1.0,390000
10259,1170,2020,1.75,2,960,1.0,8,3,1954,0,1.0,575000
5593,1140,2020,2.25,0,500,1.0,7,4,1963,0,1.0,362000
2614,1100,1650,1.75,1,480,1.0,7,4,1962,0,1.0,279900
15637,2080,2060,3.5,0,940,2.0,9,3,1954,2004,2.0,910000
15030,1160,1660,1.75,0,500,1.0,7,3,1942,0,1.0,484000
17017,1280,1330,1.75,0,620,1.0,7,3,1982,0,1.0,385000
6484,2000,2330,2.5,0,0,2.0,7,3,2003,0,2.0,284000
4650,3470,2120,3.0,0,0,1.5,7,3,1924,0,1.5,475000
5579,1650,1650,2.5,0,0,2.0,7,3,1998,0,2.0,272000
4674,2290,3130,2.5,0,0,2.0,9,4,1988,0,2.0,736000
10246,860,1510,1.0,0,650,1.0,6,4,1940,0,1.0,313950
2683,1300,1560,2.0,0,0,1.0,7,3,1950,2013,1.0,312000
9034,1340,1820,2.5,0,900,1.0,7,3,1978,0,1.0,455000
8627,1010,1440,1.0,0,0,1.0,7,3,1954,0,1.0,175000
18101,740,1570,1.75,0,430,1.0,7,4,1903,0,1.0,499000
9292,1030,1280,2.0,0,1030,1.0,7,3,1949,2013,1.0,612500
13940,3880,3240,2.5,0,0,2.0,10,3,1987,0,2.0,762300
12183,3030,2790,2.5,0,0,2.0,9,3,1999,0,2.0,685000
2020,720,840,1.0,0,0,1.0,6,3,1942,0,1.0,329350
7576,1000,1740,1.75,0,500,1.0,7,4,1955,0,1.0,379900
3445,1520,1520,2.0,0,0,1.0,7,5,1967,0,1.0,425000
1697,2000,1840,2.0,0,0,2.0,7,3,1916,1986,2.0,561000
12246,1310,1090,1.5,0,0,1.0,7,3,1950,0,1.0,365000
9318,1320,1940,1.75,0,530,1.0,8,3,1979,0,1.0,218000
19852,2690,2040,2.5,0,0,3.0,10,3,2014,0,3.0,979000
16161,1400,1400,2.75,0,400,1.5,7,3,1926,0,1.5,533000
9144,2400,2000,3.0,0,700,2.0,8,3,1996,0,2.0,563000
1829,1030,1400,1.0,0,0,1.0,7,3,1924,0,1.0,469000
18364,1610,1890,2.5,0,590,2.0,9,3,2008,0,2.0,1050000
19594,1480,1480,2.5,0,0,3.0,8,3,2006,0,3.0,500000
9080,1580,2530,3.0,0,870,1.0,8,5,1967,0,1.0,610000
3186,1970,2120,2.75,3,1400,1.0,9,3,1970,2014,1.0,1140000
15592,2740,2080,2.5,0,0,2.0,8,3,1995,0,2.0,483500
19667,1310,1930,3.75,0,1580,1.0,7,3,2006,0,1.0,390000
3311,980,1590,2.5,0,910,1.0,7,3,1980,0,1.0,325000
20033,3569,2550,3.25,0,0,2.0,10,3,2013,0,2.0,580000
12103,1400,2770,2.25,0,860,2.0,8,4,1977,0,2.0,599000
12030,2000,2210,2.5,0,0,2.0,8,3,1996,0,2.0,513000
10121,3740,3180,2.0,0,0,2.0,9,3,2000,0,2.0,860000
17199,1060,1580,1.75,0,630,1.0,7,4,1976,0,1.0,197000
14750,1690,2830,2.5,0,1220,1.0,7,4,1964,0,1.0,530000
17307,1420,1420,2.0,0,0,1.5,7,3,1905,2013,1.5,485000
20830,1270,1370,2.0,0,0,3.0,8,3,2006,0,3.0,369950
14693,3040,2020,2.25,0,0,2.0,8,3,1984,0,2.0,562000
773,1100,1390,2.0,0,0,1.5,7,3,1912,2005,1.5,450000
15828,1180,1970,2.25,0,790,1.0,8,4,1967,0,1.0,465000
8757,1020,1270,2.25,0,210,2.0,8,3,2004,0,2.0,460000
17445,4510,3510,4.0,0,0,2.0,10,3,1969,2002,2.0,1870000
2178,2020,1510,2.0,0,0,1.5,7,4,1938,0,1.5,488000
1117,860,1130,1.0,0,490,1.0,6,4,1947,0,1.0,353000
14339,2400,3430,3.25,0,1360,1.5,9,5,1950,0,1.5,1580000
1258,2150,2450,2.5,0,0,2.0,9,3,1985,0,2.0,609000
17843,1560,2360,2.25,0,420,1.0,9,4,1974,0,1.0,295000
2964,1160,2320,1.5,1,470,1.0,7,3,1940,0,1.0,650000
9504,960,1840,1.75,0,880,1.0,7,3,1958,0,1.0,404000
3715,1050,1500,1.0,0,0,1.0,6,3,1954,0,1.0,250000
1379,1010,1490,1.75,0,480,1.0,7,4,1975,0,1.0,234000
8892,2331,2441,2.5,0,0,2.0,8,3,2007,0,2.0,345000
3636,900,900,1.0,0,0,1.0,6,3,1952,0,1.0,219000
10215,1420,1200,1.5,0,0,1.0,6,3,1962,0,1.0,136500
12610,1430,1450,1.5,0,0,1.0,7,4,1956,0,1.0,518000
19061,800,820,1.5,0,0,1.0,6,4,1959,0,1.0,191000
15248,2680,1230,2.0,0,0,1.0,8,5,1965,0,1.0,360000
10762,1790,1680,2.5,0,0,2.0,8,3,1989,0,2.0,515000
21480,3040,3040,2.5,0,0,2.0,8,3,2008,0,2.0,776000
15402,1230,1270,1.0,0,0,1.0,7,5,1962,0,1.0,387000
10563,1630,2090,1.75,0,0,1.0,7,4,1971,0,1.0,280000
6290,1850,1780,2.5,0,0,2.0,8,3,1991,0,2.0,535000
15279,780,1700,1.0,0,0,1.0,5,1,1942,0,1.0,78000
12543,2030,2030,2.5,0,0,2.0,8,3,1988,0,2.0,618080
13530,760,1200,1.5,0,740,1.0,6,5,1920,0,1.0,265000
8501,1920,1930,2.5,0,0,2.0,8,3,1988,0,2.0,230000
17334,1040,910,1.0,0,0,1.0,6,5,1912,0,1.0,160000
5922,1550,1180,2.0,0,0,1.5,7,4,1900,0,1.5,526000
11431,1720,2560,2.25,0,830,1.0,10,3,2011,0,1.0,630000
15737,3700,2510,5.75,1,0,2.0,8,3,1948,1984,2.0,540000
13031,760,1750,1.0,0,0,1.0,6,3,1913,0,1.0,300000
3529,1220,1590,1.75,0,620,1.0,7,4,1974,0,1.0,310000
1545,1210,1540,2.75,0,330,1.0,7,5,1980,0,1.0,503000
8423,1960,1990,2.75,0,640,2.0,8,5,1949,0,2.0,749950
3844,2680,2020,2.5,0,0,2.0,8,3,1995,0,2.0,630000
19564,1210,2190,2.0,1,1000,1.0,8,4,1954,0,1.0,794154
12137,1890,2840,1.5,0,420,1.0,7,3,1950,0,1.0,1110000
14573,1040,1660,1.0,0,0,1.0,7,4,1968,0,1.0,314950
4671,1780,2090,2.75,0,630,1.0,7,4,1956,0,1.0,758000
9823,820,1370,1.0,0,0,1.0,7,3,1921,0,1.0,475000
4092,2450,1460,4.5,0,1380,2.5,7,3,1938,0,2.5,599999
7928,2720,2560,1.75,0,0,1.5,9,3,1988,0,1.5,535000
16405,1080,1960,1.0,0,260,1.0,7,3,1910,0,1.0,530000
12869,1010,1040,2.0,0,600,1.0,7,4,1917,0,1.0,485000
21558,1680,1640,3.0,0,0,3.0,8,3,2014,0,3.0,610950
12490,1520,1690,2.5,0,1130,1.5,8,3,1905,2013,1.5,705000
17422,1380,1380,1.5,0,0,1.0,7,3,1960,0,1.0,209950
12680,2130,2850,3.0,0,140,2.0,9,3,2002,0,2.0,640000
9927,1620,2210,2.5,2,800,1.0,7,3,1978,0,1.0,352000
10835,1090,1960,1.75,0,870,1.0,7,4,1920,0,1.0,599000
16333,1060,1740,1.75,0,440,1.0,6,4,1947,0,1.0,440000
9930,1770,1650,2.25,0,0,2.0,7,3,1977,0,2.0,420000
4724,1720,1220,1.75,0,0,1.0,7,5,1960,0,1.0,248500
15888,2180,1790,2.5,0,0,1.0,8,4,1968,0,1.0,480500
1399,1250,1980,1.75,0,0,1.0,7,3,1994,0,1.0,253000
12530,1470,2430,2.25,1,420,1.0,9,3,1963,0,1.0,940000
21247,2656,1860,2.75,0,0,2.0,9,3,2014,0,2.0,495000
3761,1360,1800,2.75,0,1160,1.0,7,4,1946,0,1.0,750000
16328,1600,1700,2.5,0,0,2.0,7,3,2000,0,2.0,280000
5055,1760,2010,2.0,0,0,2.0,7,4,1985,0,2.0,460000
21253,1410,1590,2.75,0,1000,1.0,7,3,2008,0,1.0,365000
19109,1660,2510,2.25,0,0,1.0,8,4,1961,0,1.0,405000
160,1030,1010,2.25,0,1030,1.0,7,3,1962,0,1.0,255000
20140,1880,2280,2.5,0,400,2.0,8,3,2006,0,2.0,535000
13409,840,2440,1.0,0,800,1.0,7,3,1978,0,1.0,379500
19027,980,1760,2.0,0,780,1.0,7,4,1942,0,1.0,690000
14083,3560,2780,2.5,0,0,2.5,11,4,1914,0,2.5,1500000
7184,4760,2940,4.5,2,1450,2.5,11,5,1910,0,2.5,3200000
12542,2190,1980,1.75,0,0,1.0,8,4,1967,0,1.0,313000
17273,1600,2040,2.0,3,940,1.5,8,4,1905,0,1.5,775000
20009,3900,3820,3.5,0,0,2.0,10,3,2006,0,2.0,1040000
19590,1570,1410,2.0,0,0,1.0,7,4,1952,0,1.0,335000
7118,1870,1950,1.75,0,0,1.0,8,4,1957,0,1.0,314500
139,1170,1350,2.25,0,0,3.0,8,3,2014,0,3.0,519950
2876,1110,1140,1.0,0,0,1.0,7,3,1952,0,1.0,249000
9277,1860,2870,2.5,0,600,1.0,9,4,1977,0,1.0,600000
6686,1400,1070,1.0,0,0,1.0,6,3,1944,0,1.0,246000
19136,1830,1940,2.5,0,0,2.0,8,3,1990,0,2.0,375000
9146,3240,2090,2.5,0,0,2.0,10,4,1991,0,2.0,651000
19798,3400,4100,4.5,0,870,2.0,11,3,2007,0,2.0,1530000
5417,1680,2250,1.75,0,0,1.0,8,4,1959,0,1.0,675000
12402,1650,1690,2.0,0,0,1.0,7,3,1955,0,1.0,575000
17603,1130,1680,1.75,0,510,1.0,7,3,1988,0,1.0,226500
11295,2245,1620,2.5,0,1060,1.5,7,5,1922,1956,1.5,492000
8335,1010,1470,1.0,0,0,1.0,6,3,1981,0,1.0,350000
15442,910,1326,1.0,0,0,1.0,6,3,1956,0,1.0,100000
21355,1606,1516,2.25,0,0,3.0,8,3,2009,0,3.0,417250
19753,1040,1260,1.5,0,220,2.0,7,3,2005,0,2.0,245000
10153,1350,1440,2.0,0,0,1.0,8,3,2003,0,1.0,428000
20503,1150,1360,2.5,0,0,3.0,8,3,2008,0,3.0,425000
9742,1010,1770,1.0,0,0,1.5,7,4,1906,1990,1.5,500000
14409,1940,2560,2.5,0,0,1.0,8,4,1987,0,1.0,500000
16762,1860,1960,2.0,0,0,1.0,8,3,1985,0,1.0,560000
20962,1600,1500,2.5,0,0,2.0,7,3,2013,0,2.0,305450
21365,820,820,1.0,0,0,3.0,8,3,2006,0,3.0,339950
6636,1830,1740,3.0,0,0,2.0,7,3,1991,0,2.0,415000
9063,1280,1220,2.0,0,1230,1.0,7,4,1961,2001,1.0,581000
7846,1040,1340,1.5,0,0,1.5,6,4,1904,0,1.5,420000
6197,3180,2770,3.0,2,940,2.0,9,3,1994,0,2.0,560000
9028,820,1100,1.0,0,280,1.0,6,2,1947,0,1.0,250000
18300,1320,2360,2.75,0,820,1.0,7,3,1968,0,1.0,409500
2222,1600,1700,2.5,0,0,2.0,8,4,1993,0,2.0,275000
1169,4460,3470,4.0,0,0,2.0,11,3,2001,0,2.0,1150000
14494,1410,1570,2.0,0,0,1.0,7,3,1985,0,1.0,239900
4811,1420,2011,1.75,0,650,1.0,7,4,1973,0,1.0,310000
14962,820,1490,1.0,0,0,1.0,7,4,1944,0,1.0,361280
13919,1630,1730,2.25,0,0,2.0,7,4,1985,0,2.0,339950
657,990,1250,1.0,0,0,1.0,6,3,1943,0,1.0,495000
16358,3680,3200,4.0,0,0,2.0,10,3,1990,0,2.0,675000
19600,1490,1280,1.0,0,0,1.0,7,3,1969,0,1.0,185000
14186,2440,2960,3.0,2,520,2.0,10,3,1937,1990,2.0,1340000
8809,1780,1700,2.0,0,570,1.5,8,3,1929,0,1.5,568000
11668,3170,4130,3.75,0,960,2.0,9,3,1985,0,2.0,900000
18260,1500,2230,1.75,0,1500,1.0,7,5,1958,0,1.0,380000
1146,2430,2260,2.5,0,0,2.0,8,3,2003,0,2.0,510000
8403,1210,2600,1.75,1,370,1.0,7,4,1967,0,1.0,515000
19152,1390,1420,1.0,0,0,1.0,6,4,1960,0,1.0,230000
2883,1290,1960,2.5,0,670,1.0,7,4,1977,0,1.0,402000
21233,2310,2440,2.5,0,0,2.0,8,3,2011,0,2.0,494000
19365,1050,1540,1.0,0,1050,1.0,7,3,1959,0,1.0,211000
6923,2250,2350,2.25,0,0,2.0,8,3,1980,0,2.0,569000
11562,3510,3450,3.0,0,0,2.5,10,4,1906,0,2.5,1750000
6935,3160,3140,3.0,0,0,2.0,7,3,1993,0,2.0,589900
19113,1460,1720,1.75,0,0,1.0,7,3,1979,0,1.0,424500
16868,2430,2800,2.25,0,0,1.0,8,3,1974,0,1.0,524000
19449,1910,1360,2.0,0,0,1.5,8,5,1941,0,1.5,835000
7096,1060,1420,1.0,0,0,1.0,7,3,1926,0,1.0,515000
19411,1590,2980,1.75,0,0,1.0,7,3,1988,0,1.0,349000
18827,1550,1600,2.0,0,0,1.5,7,2,1972,0,1.5,330000
16643,1320,1440,1.75,0,0,1.5,7,5,1918,0,1.5,660000
9614,960,1290,1.5,0,0,2.0,7,3,1993,0,2.0,358000
11118,1980,2120,1.75,0,0,1.0,8,4,1973,0,1.0,530000
11889,1230,1210,1.75,0,0,1.5,7,5,1925,0,1.5,636000
895,1780,3260,2.5,0,1380,1.0,9,4,1971,0,1.0,980000
20626,1410,1350,1.75,0,0,3.0,8,3,2012,0,3.0,500000
5558,1460,1750,2.5,0,480,1.0,7,3,1989,0,1.0,266000
1001,1230,1840,1.75,0,500,1.0,7,3,1977,0,1.0,258000
20334,3010,2950,2.75,0,0,2.0,9,3,2011,0,2.0,785000
17806,1260,1510,1.5,0,0,1.0,7,4,1955,0,1.0,245000
1307,1170,1560,1.0,0,500,1.0,7,3,1967,0,1.0,533000
6975,1390,1460,1.75,0,0,1.0,7,4,1975,0,1.0,246000
9551,650,1270,1.0,0,620,1.0,6,4,1923,0,1.0,235000
16480,1750,1750,2.5,0,0,2.0,7,4,1991,0,2.0,595000
2909,720,1357,1.0,0,0,1.0,6,3,1955,0,1.0,205000
2139,520,1572,1.0,0,0,1.0,5,2,1951,0,1.0,82500
10889,1220,1770,1.75,0,620,1.0,7,3,1967,0,1.0,538000
21049,860,1280,1.25,0,0,2.0,7,3,2007,0,2.0,321950
6238,1780,2440,2.25,2,0,2.0,8,3,1988,0,2.0,545000
2504,2660,3620,2.5,2,0,2.0,9,3,2003,0,2.0,753888
9298,1480,1920,1.5,0,760,1.5,7,2,1980,0,1.5,335000
20857,3206,2527,2.25,0,0,2.0,7,3,2012,0,2.0,375000
1993,1890,1500,1.75,0,0,1.0,7,5,1966,0,1.0,307000
21385,980,1190,1.0,0,0,2.0,8,3,2010,0,2.0,438000
1611,2550,2550,2.5,0,0,2.0,7,3,2005,0,2.0,537500
