,date,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
13967,2014-05-02,3,up to 4,1.0,0,with a view,4,very good,1440,950,1955,0,98116,47.5714,-122.40799999999999,2010,6550,750000
16302,2014-05-02,3,up to 2,1.0,0,without,3,very good,1160,0,1968,0,98077,47.7427,-122.072,1160,10282,315000
4997,2014-05-02,3,up to 2,1.0,0,without,4,very good,1090,0,1955,0,98106,47.5334,-122.365,1340,6435,365000
3320,2014-05-02,3,up to 4,1.0,0,without,4,very good,1570,860,1985,0,98045,47.4828,-121.71799999999999,1560,56827,452500
19814,2014-05-02,3,up to 4,3.0,0,without,3,very good,1600,170,2007,0,98103,47.6965,-122.34200000000001,1680,1203,436110
15907,2014-05-02,2,up to 2,1.0,0,without,2,very good,1210,0,1949,0,98106,47.5342,-122.36,1580,6026,235000
7727,2014-05-02,3,up to 4,2.5,0,without,3,very good,1470,280,2005,0,98102,47.6498,-122.321,2410,3050,626000
12354,2014-05-02,3,up to 4,2.0,0,with a view,3,very good,3240,0,1995,0,98023,47.3256,-122.37799999999999,4050,24967,604000
15542,2014-05-02,3,up to 4,2.0,0,without,3,very good,1770,0,1990,0,98116,47.5631,-122.397,1770,3833,439950
13635,2014-05-02,3,up to 2,1.0,0,with a view,5,very good,1650,310,1957,0,98166,47.4419,-122.34,1960,10518,403000
11565,2014-05-02,4,up to 4,1.0,0,without,3,very good,1080,1080,1966,0,98006,47.5443,-122.177,1850,9000,440000
17386,2014-05-02,3,up to 2,1.5,0,without,3,very good,2910,0,1979,0,98075,47.5747,-122.035,2590,37500,550000
16754,2014-05-02,3,up to 4,2.0,0,without,4,very good,1970,0,1977,0,98027,47.4635,-121.991,2340,35100,437500
5608,2014-05-02,3,up to 2,1.0,0,without,4,very good,1200,0,1965,0,98042,47.4225,-122.15299999999999,1380,10284,242500
15113,2014-05-02,2,up to 2,1.0,0,without,4,very good,850,0,1950,0,98155,47.7352,-122.32799999999999,1100,6174,308500
312,2014-05-02,5,up to 4,2.0,0,with a view,5,very good,3370,280,1921,0,98119,47.6345,-122.367,2880,5400,2380000
6418,2014-05-02,3,up to 2,1.0,0,without,3,very good,1370,0,1987,0,98198,47.3815,-122.31299999999999,1400,7500,257950
21271,2014-05-02,4,up to 4,1.0,0,without,3,very good,1560,1170,2007,0,98059,47.5133,-122.11,2730,111274,625000
16866,2014-05-02,3,up to 4,2.0,0,without,3,very good,1930,0,1996,0,98059,47.4938,-122.161,2290,8228,407500
16909,2014-05-02,3,up to 4,3.0,0,without,3,very good,1270,0,2001,0,98107,47.6697,-122.39200000000001,1320,1180,445700
5652,2014-05-02,3,up to 2,1.0,0,without,4,very good,1570,0,1956,0,98007,47.6022,-122.134,1570,7300,419000
21145,2014-05-02,3,up to 4,2.0,0,without,3,very good,2680,0,2013,0,98045,47.4761,-121.734,2990,6037,459990
17388,2014-05-02,3,up to 2,1.5,0,without,4,very good,1880,830,1929,0,98115,47.6747,-122.295,2060,4500,805000
17024,2014-05-02,4,up to 4,2.0,0,without,3,very good,3310,0,2001,0,98052,47.7232,-122.131,3350,42847,838000
17041,2014-05-02,4,up to 4,2.0,0,without,3,very good,2710,0,2000,0,98027,47.4634,-121.98700000000001,2390,39299,630000
10235,2014-05-02,4,up to 2,1.0,0,without,4,very good,1560,0,1967,0,98034,47.7274,-122.181,2080,8000,382500
6655,2014-05-02,3,up to 2,1.0,0,without,3,very good,1180,0,1983,0,98045,47.488,-121.787,1680,11104,275000
6305,2014-05-02,4,up to 4,2.0,0,without,3,very good,3110,0,1997,0,98092,47.3279,-122.191,2820,7311,367500
6705,2014-05-02,3,up to 2,2.0,0,without,5,very good,1550,690,1923,0,98115,47.6954,-122.292,1570,10578,750000
172,2014-05-02,3,up to 2,1.5,0,without,3,very good,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,313000
14803,2014-05-02,4,up to 2,1.0,0,without,4,very good,1480,0,1974,0,98055,47.461999999999996,-122.193,2130,8502,260000
4331,2014-05-02,4,up to 4,1.5,0,without,5,very good,1910,1010,1909,0,98105,47.6578,-122.28,2470,4000,1400000
775,2014-05-02,3,up to 4,1.0,0,without,4,very good,1000,1000,1963,0,98008,47.6188,-122.11399999999999,2070,8250,420000
11491,2014-05-02,4,up to 2,1.5,0,without,3,very good,1640,180,1945,0,98115,47.6815,-122.26899999999999,2060,5000,650000
502,2014-05-02,3,up to 2,1.0,0,without,4,very good,1930,0,1966,0,98042,47.3672,-122.15100000000001,2200,12825,342000
19661,2014-05-02,5,up to 4,2.0,0,with a view,3,very good,3660,0,2006,0,98065,47.5337,-121.86,3320,11241,785000
21374,2014-05-02,3,up to 4,2.0,0,without,3,very good,2540,0,2006,0,98042,47.3358,-122.055,2280,5050,300000
5038,2014-05-02,5,up to 4,1.5,0,without,3,very good,2910,0,1939,0,98105,47.6552,-122.27799999999999,2940,6600,1200000
8293,2014-05-02,3,up to 4,1.0,0,without,4,very good,1360,730,1987,0,98003,47.3537,-122.303,1750,8595,285000
7954,2014-05-02,4,up to 2,1.0,0,without,3,very good,1130,470,1959,0,98125,47.701,-122.306,1090,6380,495000
12484,2014-05-02,2,up to 2,1.0,0,without,4,very good,800,0,1944,0,98107,47.6639,-122.36399999999999,1150,4365,440000
2485,2014-05-02,2,up to 2,1.0,0,without,3,very good,1350,0,1976,0,98052,47.6344,-122.10700000000001,1790,2560,335000
8883,2014-05-02,4,up to 4,1.5,0,without,5,very good,1300,900,1920,0,98033,47.6845,-122.20100000000001,2320,10814,698000
7935,2014-05-02,4,up to 4,2.0,0,without,3,very good,2730,0,1991,0,98011,47.7419,-122.205,2730,10872,612500
5950,2014-05-02,4,up to 4,2.0,0,without,3,very good,2200,0,1987,0,98001,47.3406,-122.26899999999999,2310,9176,285000
8319,2014-05-02,3,up to 2,1.0,0,without,4,very good,1360,1000,1948,0,98136,47.5274,-122.384,1860,5499,615000
2578,2014-05-02,4,up to 4,2.0,0,without,3,very good,2710,0,1989,0,98038,47.375,-122.022,2780,36224,482000
19550,2014-05-02,4,up to 2,1.0,0,with a view,3,very good,2190,0,1968,0,98092,47.2703,-122.069,3000,125017,491500
19051,2014-05-02,4,up to 2,1.0,0,without,4,very good,1070,850,1954,0,98006,47.5725,-122.133,1450,10836,430000
18675,2014-05-02,5,up to 4,1.0,0,without,3,very good,1460,750,1976,0,98011,47.7698,-122.22200000000001,2080,8633,470000
13095,2014-05-02,3,up to 4,1.0,0,without,4,very good,1090,760,1992,0,98038,47.3493,-122.03399999999999,1410,6715,287200
10689,2014-05-02,4,up to 4,2.0,0,without,3,very good,2190,670,2004,0,98072,47.7735,-122.15799999999999,2860,3596,499950
15877,2014-05-03,3,up to 2,1.0,0,without,4,very good,1010,0,1973,0,98065,47.5324,-121.76299999999999,1390,12710,310000
13153,2014-05-03,3,up to 4,1.0,0,without,4,very good,1130,520,1986,0,98027,47.4821,-122.01700000000001,1940,87555,379880
8511,2014-05-03,2,up to 2,1.0,0,without,3,very good,900,0,1944,0,98117,47.6883,-122.395,1280,5000,553000
8103,2014-05-03,4,up to 4,2.0,0,without,3,very good,2920,0,2012,0,98059,47.4909,-122.14399999999999,3030,6605,625000
4888,2014-05-04,3,up to 4,1.0,0,without,5,very good,1570,630,1988,0,98058,47.4395,-122.161,2350,7557,365000
9652,2014-05-04,4,up to 4,2.0,0,with a view,3,very good,2010,520,1990,0,98092,47.2654,-122.21600000000001,2140,9933,331950
15036,2014-05-04,4,up to 2,1.0,0,without,3,very good,1140,1140,1900,0,98122,47.6034,-122.289,2240,6200,628000
3823,2014-05-04,2,up to 4,1.0,0,without,3,very good,2680,0,2004,0,98053,47.717,-122.02600000000001,2315,7045,775000
14282,2014-05-04,3,up to 4,2.0,0,without,3,very good,1990,860,1980,0,98122,47.603,-122.289,2280,6459,783500
20365,2014-05-05,4,more than 4,2.0,0,without,3,very good,3410,1010,2006,0,98027,47.5404,-122.073,4420,5750,890000
6964,2014-05-05,4,up to 4,2.0,0,with a view,3,very good,3180,0,2000,0,98059,47.515,-122.117,3715,29170,736500
11595,2014-05-05,3,up to 4,2.0,0,without,3,very good,2230,0,1954,0,98144,47.5801,-122.306,1310,4000,398750
20325,2014-05-05,4,up to 4,2.0,0,without,3,very good,3400,0,2007,0,98052,47.708,-122.109,3070,7375,830000
13272,2014-05-05,3,up to 2,1.0,0,without,4,very good,1040,840,1945,0,98115,47.6878,-122.286,1770,6175,600000
3171,2014-05-05,3,up to 4,1.0,0,without,4,very good,1360,440,1978,0,98027,47.4688,-122.01299999999999,2730,36404,410000
13012,2014-05-05,3,up to 4,2.0,0,without,3,very good,1880,0,1994,0,98055,47.4439,-122.19,1810,7915,309950
5139,2014-05-05,3,up to 2,1.0,0,with a view,4,very good,1400,760,1949,0,98177,47.7241,-122.369,3010,9000,650000
16092,2014-05-05,2,up to 4,2.0,0,without,3,very good,2220,0,2000,0,98112,47.6364,-122.28,1870,4000,1430000
3964,2014-05-05,2,up to 4,2.0,0,without,3,very good,1140,270,2006,0,98136,47.5221,-122.39,1410,1273,405000
11747,2014-05-05,2,up to 2,1.0,0,without,5,very good,810,0,1944,0,98168,47.4882,-122.325,1090,7158,206000
20322,2014-05-05,2,up to 2,2.0,0,without,3,very good,1160,0,2001,0,98144,47.5917,-122.295,1220,1740,340000
20459,2014-05-05,3,up to 4,2.5,0,without,3,very good,1540,80,2010,0,98027,47.5401,-122.027,1620,1299,415000
20429,2014-05-05,3,up to 4,3.0,0,without,3,very good,1571,0,2008,0,98125,47.7338,-122.309,1520,1497,366750
3855,2014-05-05,3,up to 2,2.5,0,without,3,very good,1480,0,2005,0,98034,47.6945,-122.17,1480,2441,620000
20538,2014-05-05,3,up to 4,3.0,0,without,3,very good,1408,0,2005,0,98115,47.6856,-122.315,1408,1342,416286
8159,2014-05-05,4,up to 4,2.0,0,without,3,very good,2370,0,1998,0,98092,47.3328,-122.17299999999999,2590,6137,328000
1276,2014-05-05,4,up to 4,2.0,0,without,4,very good,1610,560,1982,2011,98112,47.6196,-122.292,1670,4000,831000
6953,2014-05-05,5,up to 4,2.0,0,without,5,very good,2850,1160,1971,0,98105,47.6578,-122.286,2610,6128,1400000
6644,2014-05-05,5,up to 4,1.0,0,without,3,very good,1750,1340,1968,0,98023,47.3408,-122.335,1760,25919,384900
14855,2014-05-05,3,up to 2,1.0,0,without,4,very good,1550,0,1958,0,98059,47.4873,-122.09899999999999,1510,41416,249950
10197,2014-05-05,4,up to 2,1.0,0,without,3,very good,1050,340,1924,0,98103,47.6596,-122.338,1810,4240,657100
606,2014-05-05,2,up to 4,2.0,0,without,3,very good,1110,160,2000,0,98103,47.6634,-122.34,1290,1800,531000
187,2014-05-05,3,up to 4,2.0,0,without,3,very good,1900,0,1987,0,98074,47.62,-122.04299999999999,2030,8744,560000
11287,2014-05-05,4,up to 2,1.5,0,without,3,very good,2010,0,1902,0,98119,47.6337,-122.37100000000001,2010,3600,740000
20939,2014-05-05,2,up to 4,2.0,0,without,3,very good,1590,0,2014,0,98029,47.5441,-122.01299999999999,1590,1426,419190
6298,2014-05-05,3,up to 4,3.0,0,without,3,very good,1680,0,1909,1998,98105,47.6604,-122.29,1950,5000,670000
12764,2014-05-05,7,more than 4,3.0,0,with a view,3,excelent,9410,4130,1999,0,98053,47.6675,-121.986,4850,217800,2280000
8365,2014-05-05,5,up to 2,1.0,0,without,4,very good,1540,300,1942,1958,98133,47.7308,-122.34,1200,5250,435000
12647,2014-05-05,4,up to 2,1.0,0,without,5,very good,1140,830,1960,0,98133,47.7771,-122.339,1820,8135,379950
10055,2014-05-05,4,up to 2,1.0,0,without,3,very good,1240,0,1971,0,98023,47.3206,-122.397,1240,9592,220000
11432,2014-05-05,5,up to 2,1.5,0,without,4,very good,1120,0,1962,0,98034,47.7296,-122.24,1310,7500,340000
21084,2014-05-05,4,up to 4,2.0,0,without,3,very good,2450,0,2013,0,98052,47.7048,-122.113,2970,4685,712198
2340,2014-05-05,3,up to 4,2.0,0,without,3,very good,2490,0,2003,0,98029,47.5493,-121.993,2130,4106,705380
10561,2014-05-05,4,up to 4,2.0,0,without,3,very good,2310,0,2006,0,98038,47.3614,-122.035,1980,5000,309950
6853,2014-05-05,3,up to 4,3.0,0,without,3,very good,1410,0,2005,0,98103,47.6916,-122.34,1430,1448,406100
11473,2014-05-05,4,up to 4,1.0,0,without,4,very good,1300,1300,1960,0,98199,47.6382,-122.397,2550,5600,855000
20746,2014-05-05,5,up to 4,2.0,0,without,3,very good,3200,1290,2006,0,98027,47.5396,-122.073,4530,6000,890000
9548,2014-05-05,2,up to 2,1.0,0,without,3,very good,840,0,1955,0,98136,47.5247,-122.391,1630,5510,400000
20729,2014-05-05,3,up to 4,2.0,0,without,3,very good,3040,0,2007,0,98056,47.51,-122.185,2670,4666,478000
4165,2014-05-05,2,up to 2,1.0,0,without,4,very good,1200,0,1958,0,98198,47.4204,-122.324,1200,7500,232000
15642,2014-05-05,5,up to 2,1.0,0,without,3,very good,1430,620,1956,0,98198,47.4136,-122.333,1940,8625,210000
12719,2014-05-05,3,up to 2,1.0,0,without,4,very good,1450,0,1953,0,98118,47.5238,-122.287,1170,6464,287000
5391,2014-05-05,6,up to 2,2.5,0,without,4,very good,2780,140,1908,0,98122,47.6024,-122.295,2020,5000,823000
16002,2014-05-05,6,up to 4,1.0,0,with a view,4,very good,1600,1600,1953,0,98146,47.492,-122.36399999999999,2220,9500,497300
6108,2014-05-05,5,up to 4,1.0,0,without,4,very good,1370,1370,1960,0,98006,47.5563,-122.184,2020,8783,541125
9273,2014-05-05,4,up to 4,1.0,0,without,3,very good,1660,1140,1963,0,98115,47.6809,-122.286,2580,5900,665000
3749,2014-05-05,2,up to 2,1.0,0,without,5,very good,1140,0,1908,0,98112,47.6205,-122.294,1520,4800,549000
19952,2014-05-05,4,up to 4,2.0,0,without,3,very good,2440,0,2014,0,98117,47.6971,-122.37100000000001,1350,7653,631625
358,2014-05-05,3,up to 2,1.0,0,without,3,very good,1330,0,1928,1954,98033,47.6891,-122.15899999999999,1340,17689,900000
3412,2014-05-05,2,up to 2,1.0,0,without,2,very good,2110,0,1948,0,98155,47.7504,-122.306,1480,9519,400000
1700,2014-05-05,4,up to 2,1.0,0,without,3,very good,1120,0,1969,2014,98042,47.3628,-122.087,1150,5304,219900
3377,2014-05-05,4,up to 4,1.0,0,without,4,very good,1340,1000,1979,0,98034,47.7306,-122.227,1440,8088,485000
4755,2014-05-05,5,up to 4,2.0,0,without,4,very good,3180,0,1990,0,98033,47.652,-122.182,3180,13798,800866
13796,2014-05-05,3,up to 2,1.5,0,without,4,very good,1410,0,1930,0,98103,47.6994,-122.34700000000001,1410,6300,418000
1772,2014-05-05,3,up to 2,1.0,0,without,3,bad,1340,0,1953,0,98019,47.7534,-121.912,1800,128066,210000
2525,2014-05-05,4,up to 4,1.0,0,without,3,very good,1210,780,1973,0,98027,47.5688,-122.087,1720,7393,627000
19780,2014-05-05,3,up to 4,2.0,0,without,3,very good,1790,0,2010,0,98027,47.56399999999999,-122.09299999999999,1890,3078,509900
9117,2014-05-05,4,up to 2,1.0,0,without,3,very good,1160,910,1963,0,98008,47.632,-122.119,1730,7519,501000
2531,2014-05-05,4,up to 4,2.0,0,without,3,very good,3690,0,1998,0,98075,47.5937,-121.98200000000001,3430,11294,865000
10914,2014-05-05,3,up to 2,1.0,0,without,3,very good,1050,0,1986,0,98019,47.7341,-121.976,1130,10087,300000
18413,2014-05-05,3,up to 2,1.0,0,without,4,very good,1080,720,1942,0,98115,47.6738,-122.29700000000001,1800,5000,618500
1894,2014-05-05,4,up to 4,1.0,0,without,4,very good,1620,500,1960,0,98005,47.5858,-122.17,1570,10762,755000
9052,2014-05-05,4,up to 4,2.0,0,without,3,very good,2910,0,2006,0,98065,47.5402,-121.887,2320,5178,499000
7852,2014-05-05,3,up to 4,1.0,0,without,3,very good,1330,680,1975,0,98052,47.6912,-122.115,2080,8260,570000
10915,2014-05-05,5,up to 2,1.0,0,without,5,very good,1810,740,1960,0,98027,47.4845,-122.08,2170,51400,525888
12149,2014-05-05,3,up to 2,1.0,0,without,4,very good,1670,0,1976,1992,98075,47.5929,-121.98899999999999,2330,30492,600000
20037,2014-05-05,3,up to 4,2.0,0,without,3,very good,1940,0,2009,0,98027,47.5644,-122.09299999999999,1880,3078,555000
13933,2014-05-05,4,up to 2,1.5,0,without,5,very good,1480,0,1928,0,98133,47.7042,-122.352,1480,3844,449250
5694,2014-05-05,3,up to 2,1.5,0,without,4,very good,1810,540,1939,0,98112,47.638999999999996,-122.31,2170,6000,770000
16932,2014-05-05,4,up to 2,1.0,0,without,4,very good,1960,340,1977,0,98052,47.6331,-122.094,2840,12000,615000
14143,2014-05-05,2,up to 2,1.5,0,without,4,very good,1140,0,1949,0,98133,47.731,-122.34100000000001,1450,5250,329950
1423,2014-05-05,4,up to 4,2.0,0,with a view,3,very good,2730,0,1996,0,98074,47.6227,-122.029,2750,7220,780000
11932,2014-05-05,5,up to 4,1.0,0,with a view,3,very good,1690,1500,1976,0,98006,47.5641,-122.16,3100,13100,1030000
8077,2014-05-05,3,up to 2,1.0,0,without,3,very good,1330,0,1961,0,98004,47.6074,-122.195,1690,7800,787000
3061,2014-05-05,2,up to 2,1.0,0,without,5,very good,1320,1220,1942,0,98118,47.5259,-122.26100000000001,2160,6000,580000
6008,2014-05-05,3,up to 2,1.0,0,without,4,very good,780,780,1944,0,98199,47.6515,-122.399,1470,6000,524000
14184,2014-05-05,3,up to 2,1.0,0,without,3,very good,1000,920,1984,0,98001,47.3319,-122.26700000000001,1860,8458,245000
14199,2014-05-05,3,up to 4,2.0,0,without,3,very good,3240,0,1994,0,98075,47.5857,-122.038,2970,7857,800000
9393,2014-05-05,4,up to 4,2.5,0,without,3,excelent,4340,0,1992,0,98053,47.6805,-122.04799999999999,2720,97138,1090000
7498,2014-05-05,3,up to 2,1.0,0,without,4,very good,1490,0,1962,0,98001,47.3075,-122.28399999999999,2488,4981,184000
16761,2014-05-05,2,up to 2,1.5,0,without,3,very good,1520,250,1949,0,98117,47.6926,-122.363,1060,4804,585000
14191,2014-05-05,4,up to 4,2.0,0,without,3,very good,2910,0,2008,0,98059,47.4804,-122.126,2500,5877,549000
19495,2014-05-05,4,up to 2,1.0,0,without,3,very good,1470,540,1977,0,98034,47.7206,-122.171,1840,8500,487585
10499,2014-05-06,4,up to 4,2.0,0,without,4,very good,2280,1210,1928,0,98199,47.6424,-122.40700000000001,2540,6223,1230000
21132,2014-05-06,5,more than 4,2.0,0,without,3,very good,3930,560,2013,0,98004,47.5974,-122.20200000000001,2490,10279,1800000
15116,2014-05-06,4,up to 4,2.0,0,without,3,very good,3200,0,1998,0,98059,47.5273,-122.14299999999999,3770,12960,725126
6619,2014-05-06,3,up to 2,1.0,0,without,3,very good,1410,0,1961,0,98177,47.7608,-122.361,2090,9272,367500
2620,2014-05-06,4,up to 4,2.0,0,without,3,very good,2110,0,1987,0,98027,47.5497,-122.07700000000001,2520,10194,606000
14941,2014-05-06,5,up to 4,2.0,0,without,4,very good,2490,990,1983,0,98075,47.5741,-122.05,2540,35910,650000
15933,2014-05-06,4,up to 4,2.0,0,without,3,very good,3380,0,2000,0,98177,47.7741,-122.37899999999999,2220,8330,655500
17068,2014-05-06,2,up to 2,1.0,0,with a view,3,very good,930,0,1951,0,98006,47.5699,-122.164,2800,11141,675000
15958,2014-05-06,3,up to 2,1.0,0,without,3,very good,1110,0,1956,0,98115,47.6977,-122.292,2010,6944,345000
14987,2014-05-06,3,up to 4,1.0,0,without,3,very good,1770,1200,1995,0,98074,47.6359,-122.052,2990,12049,525000
5347,2014-05-06,4,up to 4,1.0,0,without,3,very good,1710,1100,1958,0,98198,47.395,-122.311,1860,14900,407000
8573,2014-05-06,3,up to 4,2.0,0,without,4,very good,2460,0,1980,0,98059,47.4996,-122.146,2770,21407,520000
428,2014-05-06,4,up to 2,1.0,0,without,3,very good,1200,240,1971,0,98034,47.7245,-122.2,1460,9660,397000
4591,2014-05-06,3,up to 2,1.0,0,without,4,very good,1260,0,1966,0,98008,47.6224,-122.116,1500,7700,390000
10259,2014-05-06,3,up to 2,1.0,0,with a view,3,very good,1170,960,1954,0,98199,47.6424,-122.38600000000001,2020,5000,575000
5593,2014-05-06,3,up to 4,1.0,0,without,4,very good,1140,500,1963,0,98148,47.4476,-122.33200000000001,2020,10500,362000
2614,2014-05-06,3,up to 2,1.0,0,without,4,very good,1100,480,1962,0,98198,47.3672,-122.31200000000001,1650,8151,279900
15637,2014-05-06,3,up to 4,2.0,0,without,3,very good,2080,940,1954,2004,98199,47.651,-122.40899999999999,2060,5102,910000
15030,2014-05-06,2,up to 2,1.0,0,without,3,very good,1160,500,1942,0,98105,47.6624,-122.291,1660,4000,484000
17017,2014-05-06,3,up to 2,1.0,0,without,3,very good,1280,620,1982,0,98118,47.5549,-122.292,1330,5196,385000
6484,2014-05-06,4,up to 4,2.0,0,without,3,very good,2000,0,2003,0,98042,47.3732,-122.12899999999999,2330,5390,284000
4650,2014-05-06,6,up to 4,1.5,0,without,3,very good,3470,0,1924,0,98028,47.7663,-122.234,2120,17100,475000
5579,2014-05-06,3,up to 4,2.0,0,without,3,very good,1650,0,1998,0,98014,47.6553,-121.912,1650,15144,272000
4674,2014-05-06,4,up to 4,2.0,0,without,4,very good,2290,0,1988,0,98006,47.5599,-122.105,3130,15666,736000
10246,2014-05-06,3,up to 2,1.0,0,without,4,very good,860,650,1940,0,98115,47.6966,-122.324,1510,5712,313950
2683,2014-05-06,4,up to 2,1.0,0,without,3,very good,1300,0,1950,2013,98146,47.5071,-122.369,1560,7100,312000
9034,2014-05-06,5,up to 4,1.0,0,without,3,very good,1340,900,1978,0,98034,47.7198,-122.171,1820,7770,455000
8627,2014-05-06,3,up to 2,1.0,0,without,3,very good,1010,0,1954,0,98055,47.49,-122.22,1440,10994,175000
18101,2014-05-06,2,up to 2,1.0,0,without,4,very good,740,430,1903,0,98103,47.6653,-122.333,1570,3919,499000
9292,2014-05-06,4,up to 2,1.0,0,without,3,very good,1030,1030,1949,2013,98117,47.6992,-122.37899999999999,1280,5000,612500
13940,2014-05-06,4,up to 4,2.0,0,without,3,very good,3880,0,1987,0,98074,47.6378,-122.04,3240,14045,762300
12183,2014-05-06,4,up to 4,2.0,0,without,3,very good,3030,0,1999,0,98074,47.6075,-122.01700000000001,2790,7034,685000
2020,2014-05-06,2,up to 2,1.0,0,without,3,very good,720,0,1942,0,98117,47.7001,-122.36200000000001,840,6687,329350
7576,2014-05-06,4,up to 2,1.0,0,without,4,very good,1000,500,1955,0,98028,47.7373,-122.241,1740,11600,379900
3445,2014-05-06,4,up to 2,1.0,0,without,5,very good,1520,0,1967,0,98034,47.7357,-122.193,1520,7783,425000
1697,2014-05-06,3,up to 2,2.0,0,without,3,very good,2000,0,1916,1986,98136,47.5452,-122.39299999999999,1840,7000,561000
12246,2014-05-06,3,up to 2,1.0,0,without,3,very good,1310,0,1950,0,98133,47.7291,-122.339,1090,7560,365000
9318,2014-05-06,3,up to 2,1.0,0,without,3,very good,1320,530,1979,0,98023,47.2975,-122.37,1940,7630,218000
19852,2014-05-06,3,up to 4,3.0,0,without,3,very good,2690,0,2014,0,98117,47.6797,-122.385,2040,5000,979000
16161,2014-05-06,5,up to 4,1.5,0,without,3,very good,1400,400,1926,0,98103,47.6831,-122.34299999999999,1400,3780,533000
9144,2014-05-06,4,up to 4,2.0,0,without,3,very good,2400,700,1996,0,98028,47.7466,-122.241,2000,42500,563000
1829,2014-05-06,2,up to 2,1.0,0,without,3,very good,1030,0,1924,0,98117,47.681000000000004,-122.361,1400,4200,469000
18364,2014-05-06,3,up to 4,2.0,0,without,3,very good,1610,590,2008,0,98102,47.6426,-122.32700000000001,1890,3505,1050000
19594,2014-05-06,3,up to 4,3.0,0,without,3,very good,1480,0,2006,0,98112,47.62,-122.3,1480,1231,500000
9080,2014-05-06,4,up to 4,1.0,0,without,5,very good,1580,870,1967,0,98006,47.5694,-122.132,2530,10125,610000
3186,2014-05-06,4,up to 4,1.0,0,with a view,3,very good,1970,1400,1970,2014,98136,47.5232,-122.383,2120,6360,1140000
15592,2014-05-06,4,up to 4,2.0,0,without,3,very good,2740,0,1995,0,98077,47.74,-122.04799999999999,2080,43560,483500
19667,2014-05-06,5,up to 4,1.0,0,without,3,very good,1310,1580,2006,0,98108,47.5701,-122.296,1930,5117,390000
3311,2014-05-06,4,up to 4,1.0,0,without,3,very good,980,910,1980,0,98106,47.551,-122.35600000000001,1590,6954,325000
20033,2014-05-06,4,up to 4,2.0,0,without,3,very good,3569,0,2013,0,98055,47.4595,-122.208,2550,5251,580000
12103,2014-05-06,4,up to 4,2.0,0,without,4,very good,1400,860,1977,0,98006,47.5689,-122.126,2770,29930,599000
12030,2014-05-06,4,up to 4,2.0,0,without,3,very good,2000,0,1996,0,98028,47.7443,-122.22,2210,7066,513000
10121,2014-05-06,4,up to 2,2.0,0,without,3,very good,3740,0,2000,0,98053,47.6728,-122.012,3180,32417,860000
17199,2014-05-06,3,up to 2,1.0,0,without,4,very good,1060,630,1976,0,98001,47.3324,-122.28,1580,7503,197000
14750,2014-05-06,5,up to 4,1.0,0,without,4,very good,1690,1220,1964,0,98008,47.5803,-122.119,2830,10385,530000
17307,2014-05-06,3,up to 2,1.5,0,without,3,very good,1420,0,1905,2013,98103,47.6872,-122.34899999999999,1420,4590,485000
20830,2014-05-06,3,up to 2,3.0,0,without,3,very good,1270,0,2006,0,98103,47.6937,-122.34200000000001,1370,1320,369950
